config,bd_0,bd_1,bd_2,bd_3,bd_4,bd_5,bd_6,qp_0,qp_1,qp_2,qp_3,qp_4,qp_5,qp_6
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,15,20,20,20,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,15,20,20,20,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,15,20,20,20,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,15,20,20,20,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,15,20,20,20,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,15,30,30,30,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,15,30,30,30,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,15,30,30,30,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,15,30,30,30,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,15,30,30,30,15,15
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,30,0,0,0,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,30,0,0,0,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,30,0,0,0,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,30,0,0,0,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,30,0,0,0,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,30,10,10,10,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,30,10,10,10,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,30,10,10,10,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,30,10,10,10,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,30,10,10,10,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,30,20,20,20,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,30,20,20,20,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,30,20,20,20,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,30,20,20,20,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,30,20,20,20,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,30,30,30,30,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,30,30,30,30,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,30,30,30,30,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,30,30,30,30,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,30,30,30,30,30,30
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,45,0,0,0,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,45,0,0,0,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,45,0,0,0,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,45,0,0,0,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,45,0,0,0,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,45,10,10,10,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,45,10,10,10,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,45,10,10,10,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,45,10,10,10,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,45,10,10,10,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,45,20,20,20,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,45,20,20,20,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,45,20,20,20,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,45,20,20,20,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,45,20,20,20,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,0,45,30,30,30,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,5,45,30,30,30,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,10,45,30,30,30,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,15,45,30,30,30,45,45
cfg/temporal_21_videos.cfg,10,8,8,8,8,8,8,20,45,30,30,30,45,45
